Czas wejścia;Czas wykonania
1;19
1;6
2;10
2;16
2;55
3;29
3;84
3;32
5;20
5;50
5;39
6;43
6;17
7;33
7;11
7;32
8;27
8;6
8;18
9;61
9;67
10;27
10;89
10;66
11;78
11;73
12;53
12;13
12;3
12;20
13;23
13;53
13;86
13;65
14;122
14;58
14;16
16;70
17;63
17;21
17;13
17;23
17;14
18;46
18;24
18;56
19;56
19;89
19;6
20;75
20;14
21;15
21;40
22;49
22;11
22;13
22;14
23;70
23;41
23;33
24;12
24;62
24;28
24;40
24;8
24;58
25;23
26;80
26;84
26;128
26;17
26;3
27;48
27;54
27;29
28;111
29;51
30;43
30;40
32;40
32;47
32;1
32;28
33;28
33;103
33;5
34;33
35;60
35;55
35;118
36;24
38;20
38;86
38;58
38;61
38;46
38;81
39;43
39;116
40;3
40;97
40;26
40;15
41;1
41;33
41;5
41;35
42;49
43;19
44;78
44;46
44;31
44;6
44;17
45;1
45;94
46;74
47;45
47;26
50;104
50;70
50;49
51;37
51;95
51;108
51;76
51;28
52;11
52;4
54;16
55;32
55;60
56;47
56;17
57;72
57;44
57;41
57;91
59;44
59;6
60;38
60;55
60;63
60;43
61;27
61;32
62;21
62;17
63;33
65;30
66;17
66;34
66;40
66;54
67;64
67;19
67;42
68;52
68;2
68;9
69;46
69;32
69;74
70;35
70;48
71;42
71;70
71;9
72;53
72;6
72;33
73;9
73;3
73;53
73;26
73;56
74;26
74;2
74;16
75;18
75;6
75;12
76;7
76;98
77;29
78;25
79;57
79;6
80;60
80;10
81;53
81;9
81;97
81;15
82;11
82;132
83;18
83;53
83;60
83;36
84;13
84;64
85;70
85;6
85;68
85;4
86;24
86;1
86;51
86;45
87;16
87;50
87;20
87;41
87;35
87;39
88;1
88;1
89;38
89;56
89;58
89;21
90;55
90;7
90;13
90;81
93;162
93;74
93;73
93;40
94;26
94;23
94;23
94;26
95;35
95;33
95;29
96;72
96;49
96;45
96;16
96;65
97;2
98;81
98;52
99;25
99;123
99;32
100;8
100;55
