Czas wejścia;Czas wykonania
2;57
2;4
2;24
2;96
3;68
3;93
4;63
4;38
4;48
4;78
5;48
5;23
6;25
7;74
7;3
7;45
8;60
8;14
8;32
8;20
8;69
9;39
9;35
10;38
10;110
10;59
10;36
10;8
10;66
10;11
11;54
11;22
12;42
12;13
13;65
14;38
15;82
15;14
15;14
15;33
16;16
16;65
17;58
17;92
17;117
17;10
17;68
18;80
18;62
19;49
19;99
19;49
21;19
22;33
23;63
24;67
24;88
25;1
26;20
27;50
27;35
27;81
27;9
27;15
28;60
29;45
30;23
30;12
30;14
30;37
30;33
31;24
31;8
31;54
31;28
31;203
31;9
32;42
32;34
32;18
32;40
33;67
33;25
34;28
34;36
35;5
35;12
35;107
37;27
37;54
37;39
37;6
37;1
38;60
38;7
39;42
39;44
39;24
39;61
40;14
40;18
40;53
40;2
42;54
43;72
44;15
44;36
44;1
45;47
46;20
46;1
46;33
46;11
46;10
47;37
47;69
48;74
48;25
48;49
49;2
49;64
49;2
49;19
50;80
51;67
51;43
52;31
52;28
52;20
53;21
53;17
53;82
54;11
56;84
56;36
57;17
58;84
58;30
58;50
58;64
58;42
59;39
59;50
59;1
60;71
60;10
61;13
62;47
62;6
62;81
62;13
62;15
62;79
63;72
63;43
63;39
63;3
64;42
64;81
65;59
65;27
66;116
66;3
66;61
68;17
69;44
69;69
69;73
71;46
71;74
71;75
71;82
71;17
72;89
72;5
72;60
72;65
73;96
73;48
74;4
74;98
74;96
75;6
75;24
76;24
76;52
76;10
77;15
77;25
77;21
78;59
78;55
79;95
79;56
80;90
80;68
81;58
81;14
81;1
81;37
81;20
82;31
82;31
83;36
83;26
83;47
83;45
84;70
84;61
84;93
84;52
85;34
85;95
85;93
86;16
86;80
86;25
86;5
87;78
88;13
89;32
89;93
91;57
91;27
91;38
92;30
92;90
93;18
93;17
93;29
93;30
93;29
94;11
94;152
94;24
95;57
95;29
96;68
96;28
97;47
98;53
98;60
98;62
98;19
98;68
99;9
99;4
100;56
100;14
100;56
