Czas wejścia;Czas wykonania
1;3
1;51
1;11
2;31
2;19
3;2
4;18
4;4
4;68
4;37
5;188
5;85
5;51
6;34
6;43
6;70
6;40
6;62
7;62
7;69
7;52
7;14
7;37
8;29
8;32
8;109
8;48
9;38
10;18
10;14
10;52
13;49
13;51
13;67
14;24
15;29
16;42
17;18
18;38
18;33
18;3
19;11
19;14
19;19
19;57
20;61
20;27
20;60
21;26
21;24
22;51
22;29
23;36
23;110
23;9
24;25
24;23
25;61
25;97
25;15
25;36
26;102
27;18
28;11
28;23
28;16
29;9
29;123
29;17
29;41
29;52
29;92
29;103
31;7
31;9
31;16
31;27
31;6
32;52
32;30
32;37
33;17
33;15
33;32
34;63
34;18
35;41
35;19
36;106
36;8
36;56
36;72
36;58
37;7
37;9
37;100
38;37
38;72
38;3
39;19
39;149
39;14
39;46
40;29
41;7
41;15
41;57
41;46
41;77
42;87
43;108
44;65
45;110
45;11
45;137
46;46
46;36
46;48
47;85
48;124
48;78
48;15
48;22
49;14
49;36
49;82
49;27
50;58
51;92
51;8
51;92
52;12
53;102
53;47
53;56
54;46
54;42
54;29
54;14
55;47
55;62
55;35
55;41
55;21
56;33
56;34
57;50
57;58
57;13
58;33
58;43
59;1
60;11
60;3
61;74
61;12
61;59
62;7
62;76
62;37
62;74
62;19
62;32
62;37
62;90
63;40
63;172
65;37
65;76
66;59
66;1
66;5
66;38
68;58
69;12
69;17
70;62
70;66
70;11
70;10
71;100
71;59
71;11
72;19
73;79
73;36
74;52
74;2
74;32
75;7
76;8
76;63
76;24
76;7
76;47
76;118
77;8
77;22
77;2
77;13
78;35
78;31
78;11
78;23
79;65
80;63
80;20
80;29
80;1
81;62
81;92
81;82
82;63
82;2
83;6
87;45
87;13
87;55
87;15
88;17
88;73
88;55
88;8
89;85
89;59
89;56
90;3
90;53
90;72
91;33
91;59
91;48
91;25
92;63
92;16
93;53
94;73
94;29
95;50
95;16
95;5
96;42
96;66
97;40
97;7
99;49
99;27
99;8
100;76
100;14
