Czas wejścia;Czas wykonania
2;40
2;24
2;20
2;38
3;53
3;18
3;63
3;22
4;29
5;29
5;3
6;49
7;55
8;88
8;50
8;56
8;60
8;88
9;110
9;17
9;36
10;42
10;60
11;73
11;63
13;64
13;83
13;45
13;89
13;51
13;34
14;85
14;3
14;81
16;13
17;73
17;39
17;10
19;50
19;10
19;77
20;44
20;2
20;34
21;3
21;45
21;55
21;33
22;2
22;61
22;30
22;32
24;30
24;52
24;18
24;22
25;72
25;48
26;58
26;40
26;1
26;67
26;23
27;66
27;6
28;54
28;33
29;9
29;119
30;70
31;22
31;1
32;124
32;56
34;9
34;5
34;17
34;18
34;87
34;1
35;26
35;49
36;5
36;111
36;4
37;69
37;45
39;58
39;42
40;46
40;62
40;42
40;56
40;1
42;13
42;63
42;76
43;29
43;105
43;12
44;5
44;1
44;108
44;40
44;55
45;16
45;77
45;26
45;27
46;36
46;28
46;20
47;59
48;39
48;77
49;8
49;23
50;5
50;83
51;52
51;18
52;26
52;61
52;10
52;49
53;4
53;60
53;59
54;16
54;54
54;54
54;55
55;91
56;36
56;5
56;1
56;58
56;5
57;22
57;74
58;92
59;3
59;50
60;45
60;16
61;16
63;16
63;58
63;104
63;2
64;22
64;6
64;18
64;50
65;41
65;23
65;59
66;48
66;56
66;12
66;33
67;68
68;94
68;66
69;74
69;53
70;39
71;63
71;91
71;35
72;64
73;19
73;62
73;99
74;57
74;106
75;49
75;55
76;67
77;6
77;63
78;42
79;6
79;39
80;45
80;10
80;23
80;36
80;125
80;9
81;11
81;35
81;27
81;10
82;67
83;46
83;44
84;41
84;60
84;78
85;34
85;7
85;6
86;33
86;9
86;105
87;21
87;33
88;24
88;48
88;17
88;71
88;70
88;75
89;48
91;20
91;16
92;35
93;37
94;12
94;9
94;12
94;29
94;14
94;58
95;43
95;80
95;45
95;39
95;20
96;28
96;40
97;12
97;26
97;128
98;20
98;24
98;39
98;24
98;56
98;122
98;7
98;13
99;68
99;55
99;16
100;32
100;46
100;11
100;15
