Czas wejścia;Czas wykonania
1;84
2;5
2;39
2;29
2;13
4;17
6;134
6;72
7;7
7;43
7;56
7;3
8;19
8;39
8;51
8;28
9;5
9;1
9;28
9;91
10;14
10;42
10;1
10;52
11;68
12;39
12;23
13;60
13;18
14;57
14;29
14;27
15;1
15;39
16;50
16;58
16;23
18;23
19;37
19;21
20;74
20;10
20;29
20;28
20;14
21;28
22;22
22;38
22;37
22;104
22;2
23;13
23;34
23;63
24;58
25;42
26;69
27;28
27;68
28;39
28;62
28;127
29;55
29;53
30;65
30;32
30;59
30;90
30;14
31;17
31;1
32;44
33;74
33;5
34;97
35;18
35;15
35;48
36;9
36;9
36;42
36;20
37;50
37;17
37;56
38;117
38;22
38;2
38;86
39;6
39;41
40;79
41;99
41;24
41;78
41;50
41;31
41;22
42;15
42;48
42;129
43;91
43;74
43;9
43;2
43;15
44;48
44;52
44;25
45;60
46;54
46;78
46;9
46;65
48;25
48;16
48;101
49;57
49;27
49;64
50;21
50;45
50;41
50;6
50;61
50;45
52;56
52;5
53;90
53;117
54;16
54;78
55;93
55;51
56;102
56;165
56;27
56;27
56;150
57;2
57;71
57;94
57;38
58;140
58;19
58;25
59;5
59;11
59;35
59;1
60;40
61;33
61;55
61;7
61;127
61;7
61;8
61;1
61;46
62;55
63;58
63;88
63;39
64;85
64;28
65;113
66;86
66;4
66;19
67;99
67;77
67;32
67;84
67;7
67;59
67;71
68;18
68;117
69;73
69;119
69;7
70;71
70;44
70;76
71;11
71;1
72;22
72;88
72;64
73;87
73;60
74;71
74;1
75;48
75;37
75;9
75;74
76;28
77;6
77;7
77;7
77;50
78;48
78;62
78;5
79;23
79;103
80;16
80;17
80;17
81;46
81;1
81;84
81;27
81;81
81;42
81;23
81;70
81;58
82;88
84;4
84;54
84;29
85;27
85;21
86;26
87;7
87;37
89;33
90;47
90;46
92;78
92;98
93;60
93;50
93;18
94;32
95;96
96;13
96;41
96;34
98;22
98;1
98;62
99;32
99;59
99;50
100;42
100;72
100;76
