Czas wejścia;Czas wykonania
1;31
1;93
2;64
2;11
2;26
3;30
3;47
3;39
3;28
4;58
5;16
5;48
5;23
5;23
6;57
7;52
7;84
7;9
7;70
7;5
8;23
9;46
9;18
10;59
10;33
10;34
11;69
12;15
12;7
12;68
12;12
12;113
13;47
13;81
14;21
14;18
14;4
14;36
14;65
14;76
15;66
15;14
15;54
16;68
17;16
19;42
20;24
20;6
21;45
21;85
21;106
21;24
22;67
22;71
22;42
23;14
24;81
24;16
25;21
25;30
25;37
26;78
28;33
28;137
28;119
29;26
30;64
31;36
31;60
31;48
31;84
31;32
32;34
32;4
32;17
32;56
33;1
33;39
33;86
33;25
33;92
34;37
34;16
34;105
35;66
35;30
35;114
36;9
36;59
36;12
36;106
37;1
37;61
38;54
38;65
38;10
38;23
39;31
39;99
40;35
41;12
41;13
41;1
42;58
42;121
43;57
43;9
43;2
43;102
43;66
44;24
45;20
45;32
46;90
47;6
47;60
47;84
48;49
50;40
50;4
50;19
50;20
50;37
51;13
51;59
51;64
52;63
52;33
53;34
53;45
53;124
54;29
54;17
54;71
54;28
55;21
55;33
55;28
56;101
56;3
57;19
57;55
57;96
57;13
58;48
58;64
58;26
58;142
58;25
59;38
60;70
60;17
60;28
60;3
61;12
62;5
63;60
63;3
63;37
65;23
65;27
66;46
67;50
67;33
67;1
67;4
67;74
68;120
69;7
69;51
69;34
70;37
70;28
70;29
71;9
72;11
72;112
72;113
73;21
73;9
73;97
74;19
74;66
74;101
75;48
76;36
76;13
76;18
77;82
80;7
80;21
80;95
80;14
80;21
81;49
81;25
82;14
82;21
82;102
82;11
83;10
83;10
84;21
84;73
84;8
84;3
84;60
85;30
85;52
86;7
86;14
86;13
86;2
87;29
87;24
87;20
87;67
87;81
87;18
88;10
88;16
89;94
90;87
90;64
90;27
90;10
90;21
92;7
92;9
93;79
94;11
94;20
94;29
95;64
96;61
96;23
96;13
97;48
97;4
97;59
97;42
98;82
98;13
99;1
99;38
99;10
100;147
100;82
100;24
100;24
