Czas wejścia;Czas wykonania
1;43
1;23
1;51
2;24
2;100
2;87
2;36
3;12
3;14
3;24
3;39
3;42
3;28
4;1
4;17
5;31
6;42
6;23
6;45
7;85
7;112
7;39
7;61
7;70
7;72
8;28
8;20
9;8
9;12
10;9
10;42
10;57
10;26
11;34
11;16
11;59
11;83
12;28
12;87
13;4
13;12
13;62
14;16
14;62
15;43
16;7
17;70
17;42
17;25
17;1
18;6
18;28
18;125
19;20
19;105
19;12
20;58
20;13
20;86
21;3
22;17
22;176
23;92
23;78
24;89
24;14
24;45
24;92
24;1
25;12
25;34
25;39
25;66
26;43
26;46
27;30
27;23
29;102
30;88
30;45
30;27
31;62
31;97
32;32
32;30
34;133
34;47
34;7
34;16
34;58
34;11
34;11
35;14
35;70
35;34
35;47
37;52
37;43
37;40
38;70
38;130
38;14
40;3
40;58
40;95
41;28
41;13
41;5
41;12
42;42
42;24
42;47
43;2
43;72
43;23
44;1
44;13
45;18
45;60
46;10
46;11
46;10
47;30
47;145
48;150
49;22
49;52
50;18
50;54
50;94
51;133
52;60
52;7
52;43
54;7
54;44
56;27
56;62
56;12
57;26
57;78
58;169
58;37
58;85
58;67
58;7
59;42
59;24
59;12
59;75
59;66
59;25
60;10
60;57
60;32
60;17
61;29
62;52
62;26
63;25
63;34
63;143
63;85
64;78
66;34
66;47
66;63
66;38
66;33
67;56
67;60
68;14
68;24
68;42
68;62
68;24
69;44
70;28
70;31
72;70
73;10
73;53
74;77
74;119
75;41
75;98
75;14
76;69
76;14
76;103
77;49
77;94
78;42
79;20
80;4
80;115
80;41
80;119
80;19
80;36
81;23
81;86
82;86
82;8
83;29
83;45
83;8
83;58
84;23
86;55
86;7
86;65
86;5
86;62
86;56
86;87
87;46
87;59
88;35
88;136
89;44
89;45
89;78
89;8
90;18
90;9
90;16
90;5
90;59
90;5
91;8
91;45
91;33
92;45
93;12
93;17
95;9
96;44
96;11
97;13
97;58
97;6
97;8
98;76
98;72
99;22
99;60
100;13
100;15
100;50
