Czas wejścia;Czas wykonania
2;47
2;50
2;53
3;28
3;51
3;2
3;1
5;44
5;55
5;60
5;55
6;41
6;4
6;54
7;159
7;106
7;47
8;6
8;58
9;46
10;1
10;64
10;23
10;26
10;28
11;44
11;56
12;37
12;6
12;102
13;38
13;61
13;17
13;52
13;1
13;47
14;43
15;10
15;25
15;22
15;42
16;42
17;30
17;77
18;57
18;19
18;51
19;25
19;15
19;51
20;73
20;55
20;18
20;19
21;46
21;19
21;23
23;1
23;38
23;2
24;67
24;49
25;61
26;161
26;132
26;6
27;36
28;42
29;78
29;18
29;54
29;5
30;5
31;107
31;48
31;38
31;54
32;26
32;16
33;45
34;142
35;103
35;47
35;10
35;25
36;15
36;25
37;26
38;51
38;40
38;53
39;18
39;43
39;10
39;81
40;53
40;38
40;76
41;16
41;65
41;78
41;14
41;13
41;60
41;25
41;47
42;27
42;15
42;41
43;57
44;14
44;26
44;34
44;20
45;5
45;41
45;55
46;5
47;20
48;11
48;26
48;49
48;49
49;26
49;147
49;18
49;109
49;42
51;32
51;64
52;30
52;73
52;6
53;60
53;71
53;37
53;94
53;38
53;36
53;102
54;41
54;29
55;39
55;77
55;34
56;115
56;24
58;32
59;43
59;33
60;15
60;26
60;94
62;54
62;40
64;31
64;50
65;18
65;75
65;70
66;59
66;65
66;45
68;26
69;78
70;19
71;85
71;45
72;42
73;27
73;2
73;42
73;30
74;154
74;75
75;44
75;8
75;54
76;111
76;38
76;39
76;121
77;120
77;38
77;47
77;3
78;60
78;1
79;15
79;99
80;27
80;6
80;37
81;2
81;139
81;13
82;160
82;18
82;30
82;8
82;35
82;88
83;96
83;93
84;69
84;105
85;43
86;56
86;72
86;112
86;96
86;17
86;28
87;48
87;102
88;8
89;83
89;7
89;36
89;16
89;42
89;10
89;1
90;3
90;15
91;27
91;54
91;41
92;6
92;15
92;32
92;89
93;77
93;105
93;110
94;40
94;19
94;65
94;21
96;58
97;51
98;65
98;30
98;1
99;23
99;80
100;17
100;3
100;7
100;85
